Linux 3.0.101-0.15-default (axle) 	11/19/2014 	_x86_64_

08:47:42 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:48:42 AM     all      5.36      0.00      7.22      0.05      0.00     87.37
08:49:42 AM     all      6.84      0.00      7.07      0.00      0.00     86.09
08:50:42 AM     all      6.50      0.00      6.47      0.01      0.00     87.02
08:51:42 AM     all      6.87      0.00      6.16      0.01      0.00     86.96
08:52:42 AM     all      5.38      0.00      0.99      0.00      0.00     93.64
08:53:42 AM     all      4.19      0.00      2.26      0.00      0.00     93.55
08:54:42 AM     all      5.95      0.00      0.32      0.00      0.00     93.73
08:55:42 AM     all      4.26      0.00      2.14      0.00      0.00     93.59
08:56:42 AM     all      4.71      0.00      1.66      0.00      0.00     93.63
