task_name,s_time,e_time,diff_time,seconds
LOAD,2014-11-19 08:35:19.752382,2014-11-19 08:47:39.193399,00:12:19.441017,739.441017
PERF.POWER.RF1,2014-11-19 08:47:42.651225,2014-11-19 08:47:59.10245,00:00:16.451225,16.451225
PERF.POWER.Q14,2014-11-19 08:47:59.123214,2014-11-19 08:48:11.891464,00:00:12.76825,12.76825
PERF.POWER.Q2,2014-11-19 08:48:11.905158,2014-11-19 08:48:18.671868,00:00:06.76671,6.76671
PERF.POWER.Q9,2014-11-19 08:48:18.684997,2014-11-19 08:49:44.36058,00:01:25.675583,85.675583
PERF.POWER.Q20,2014-11-19 08:49:44.380283,2014-11-19 08:49:52.734523,00:00:08.35424,8.35424
PERF.POWER.Q6,2014-11-19 08:49:52.750187,2014-11-19 08:50:08.976067,00:00:16.22588,16.22588
PERF.POWER.Q17,2014-11-19 08:50:08.99322,2014-11-19 08:50:09.464099,00:00:00.470879,0.470879
PERF.POWER.Q18,2014-11-19 08:50:09.479435,2014-11-19 08:51:09.484743,00:01:00.005308,60.005308
PERF.POWER.Q8,2014-11-19 08:51:09.499008,2014-11-19 08:51:17.079062,00:00:07.580054,7.580054
PERF.POWER.Q21,2014-11-19 08:51:17.09337,2014-11-19 08:51:55.018096,00:00:37.924726,37.924726
PERF.POWER.Q13,2014-11-19 08:51:55.038609,2014-11-19 08:52:18.431416,00:00:23.392807,23.392807
PERF.POWER.Q3,2014-11-19 08:52:18.450954,2014-11-19 08:52:44.576105,00:00:26.125151,26.125151
PERF.POWER.Q22,2014-11-19 08:52:44.594471,2014-11-19 08:52:51.894387,00:00:07.299916,7.299916
PERF.POWER.Q16,2014-11-19 08:52:51.915233,2014-11-19 08:53:01.784328,00:00:09.869095,9.869095
PERF.POWER.Q4,2014-11-19 08:53:01.803263,2014-11-19 08:53:11.275382,00:00:09.472119,9.472119
PERF.POWER.Q11,2014-11-19 08:53:11.294378,2014-11-19 08:53:13.369473,00:00:02.075095,2.075095
PERF.POWER.Q15,2014-11-19 08:53:13.389666,2014-11-19 08:53:34.091838,00:00:20.702172,20.702172
PERF.POWER.Q1,2014-11-19 08:53:34.113507,2014-11-19 08:54:59.638354,00:01:25.524847,85.524847
PERF.POWER.Q10,2014-11-19 08:54:59.659438,2014-11-19 08:55:22.908247,00:00:23.248809,23.248809
PERF.POWER.Q19,2014-11-19 08:55:22.929785,2014-11-19 08:55:23.527778,00:00:00.597993,0.597993
PERF.POWER.Q5,2014-11-19 08:55:23.547881,2014-11-19 08:55:38.451226,00:00:14.903345,14.903345
PERF.POWER.Q7,2014-11-19 08:55:38.470511,2014-11-19 08:55:55.864982,00:00:17.394471,17.394471
PERF.POWER.Q12,2014-11-19 08:55:55.884019,2014-11-19 08:56:16.924116,00:00:21.040097,21.040097
PERF.POWER.RF2,2014-11-19 08:56:16.933153,2014-11-19 08:56:50.977044,00:00:34.043891,34.043891
PERF.POWER,2014-11-19 08:47:42.64425,2014-11-19 08:56:50.986767,00:09:08.342517,548.342517
PERF.THRUPUT.QS3.Q8,2014-11-19 08:58:43.397138,2014-11-19 08:58:56.570967,00:00:13.173829,13.173829
PERF.THRUPUT.QS4.Q5,2014-11-19 08:58:43.404376,2014-11-19 08:58:59.002643,00:00:15.598267,15.598267
PERF.THRUPUT.RFST1.RF1,2014-11-19 08:58:43.019351,2014-11-19 08:58:59.674597,00:00:16.655246,16.655246
PERF.THRUPUT.QS2.Q6,2014-11-19 08:58:43.403037,2014-11-19 08:59:00.065665,00:00:16.662628,16.662628
PERF.THRUPUT.QS2.Q17,2014-11-19 08:59:00.091977,2014-11-19 08:59:00.797326,00:00:00.705349,0.705349
PERF.THRUPUT.QS2.Q14,2014-11-19 08:59:00.810059,2014-11-19 08:59:06.933791,00:00:06.123732,6.123732
PERF.THRUPUT.QS6.Q10,2014-11-19 08:58:43.407853,2014-11-19 08:59:07.516042,00:00:24.108189,24.108189
PERF.THRUPUT.QS3.Q5,2014-11-19 08:58:56.633606,2014-11-19 08:59:10.312676,00:00:13.67907,13.67907
PERF.THRUPUT.QS2.Q16,2014-11-19 08:59:06.945548,2014-11-19 08:59:16.55987,00:00:09.614322,9.614322
PERF.THRUPUT.QS2.Q19,2014-11-19 08:59:16.571971,2014-11-19 08:59:17.280329,00:00:00.708358,0.708358
PERF.THRUPUT.QS3.Q4,2014-11-19 08:59:10.324927,2014-11-19 08:59:18.128048,00:00:07.803121,7.803121
PERF.THRUPUT.QS1.Q21,2014-11-19 08:58:43.40198,2014-11-19 08:59:18.141534,00:00:34.739554,34.739554
PERF.THRUPUT.QS5.Q21,2014-11-19 08:58:43.40362,2014-11-19 08:59:18.14438,00:00:34.74076,34.74076
