# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416383982;sda;4.98;0.00;439.78;88.29;0.03;5.65;0.20;0.10
axle;60;1416384042;sda;3.16;0.27;423.58;133.94;0.01;2.13;0.21;0.07
axle;60;1416384102;sda;3.21;0.00;446.85;139.08;0.01;2.31;0.21;0.07
axle;60;1416384162;sda;3.26;0.00;414.23;127.18;0.01;1.97;0.14;0.05
axle;60;1416384222;sda;3.32;0.00;475.09;143.20;0.02;4.80;0.26;0.09
axle;60;1416384282;sda;2.35;0.00;300.80;127.83;0.01;3.18;0.23;0.05
axle;60;1416384342;sda;2.59;0.00;282.86;109.42;0.01;2.43;0.26;0.07
axle;60;1416384402;sda;3.30;0.00;429.93;130.30;0.01;2.81;0.18;0.06
