Linux 3.0.101-0.15-default (axle) 	11/19/2014 	_x86_64_

08:35:16 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:36:16 AM     all     21.61      0.00      7.56      0.09      0.00     70.75
08:37:16 AM     all     13.13      0.00      5.88      0.00      0.00     80.99
08:38:16 AM     all      7.87      0.00      4.57      0.01      0.00     87.55
08:39:16 AM     all      5.74      0.00      1.02      0.00      0.00     93.24
08:40:16 AM     all      5.75      0.00      1.04      0.00      0.00     93.21
08:41:16 AM     all     18.10      0.00      3.05      0.00      0.00     78.84
08:42:16 AM     all     13.25      0.00      0.78      0.00      0.00     85.97
08:43:16 AM     all      7.17      0.00      0.55      0.00      0.00     92.28
08:44:16 AM     all      6.08      0.00      0.21      0.00      0.00     93.71
08:45:16 AM     all      4.66      0.00      1.19      0.00      0.00     94.15
08:46:16 AM     all      8.80      0.00      2.20      0.00      0.00     89.00
08:47:16 AM     all      9.56      0.00      0.43      0.00      0.00     90.01
