# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416382576;sda;51.43;0.00;12154.21;236.35;2.04;39.62;0.30;1.55
axle;60;1416382636;sda;3.30;0.00;648.26;196.39;0.02;4.97;0.39;0.13
axle;60;1416382696;sda;5.29;3.35;1090.58;206.91;0.05;9.66;0.34;0.18
axle;60;1416382756;sda;0.75;0.00;38.28;51.02;0.00;0.00;0.00;0.00
axle;60;1416382816;sda;0.48;0.00;51.22;105.93;0.00;0.00;0.00;0.00
axle;60;1416382876;sda;1.07;0.00;133.67;124.75;0.00;0.81;0.19;0.02
axle;60;1416382936;sda;1.10;0.00;136.91;124.48;0.00;0.85;0.24;0.03
axle;60;1416382996;sda;0.73;0.00;64.86;88.36;0.00;0.18;0.18;0.01
axle;60;1416383056;sda;0.48;0.00;43.12;89.10;0.00;0.55;0.28;0.01
axle;60;1416383116;sda;0.63;0.27;47.66;75.58;0.00;0.21;0.21;0.01
axle;60;1416383176;sda;1.03;0.00;96.95;93.81;0.00;0.00;0.00;0.00
axle;60;1416383236;sda;0.85;0.00;104.13;122.51;0.00;0.00;0.00;0.00
