# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416382576;0.00;6077.11;257094.51;0.00;341736.75;0.00;0.00;0.00;0.00
axle;60;1416382636;0.00;324.13;261391.52;0.00;204030.58;0.00;0.00;0.00;0.00
axle;60;1416382696;1.67;545.29;161456.47;0.00;132651.45;0.00;0.00;0.00;0.00
axle;60;1416382756;0.00;19.14;4389.63;0.00;30413.14;0.00;0.00;0.00;0.00
axle;60;1416382816;0.00;25.61;4427.36;0.00;29916.31;0.00;0.00;0.00;0.00
axle;60;1416382876;0.00;66.83;34518.88;0.00;33335.36;0.00;0.00;0.00;0.00
axle;60;1416382936;0.00;68.46;4539.21;0.00;22921.35;0.00;0.00;0.00;0.00
axle;60;1416382996;0.00;32.43;221.10;0.00;28912.96;0.00;0.00;0.00;0.00
axle;60;1416383056;0.00;21.56;220.14;0.00;3573.13;0.00;0.00;0.00;0.00
axle;60;1416383116;0.13;23.83;4312.07;0.00;27419.76;0.00;0.00;0.00;0.00
axle;60;1416383176;0.00;48.47;37621.80;0.00;19369.89;0.00;0.00;0.00;0.00
axle;60;1416383236;0.00;52.07;2415.03;0.00;31581.85;0.00;0.00;0.00;0.00
